"DEPARTMENT_ID","DEPARTMENT_DESCRIPTION","CLASS_ID","CLASS_DESCRIPTION","SUBCLASS_ID","SUBCLASS_DESCRIPTION","MANUFACTURER","BRAND","MODELLINE","MANUFACTURER_SKU","RETAILER_SKU","SIZE","RETAIL_LIST_PRICE","STORE_NUMBER","STORE_NAME","STORE_ADDRESS","STORE_CITY","STORE_STATE","STORE_ZIP_CODE","END_OF_FISCAL_WEEK_DATE","TOTAL_UNITS_SOLD","TOTAL_DOLLARS_SOLD","VIN"
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","2",""
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","1","1","DN565135 "
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","20","20",""
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","3","3",""
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","1","1","9F0C1391 "
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","2",""
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","3","3",""
"-3","Other Charges/Fees","-48","Tire Fee","-178","Tire Fee","Tire Fee","Tire Fee","PA ROAD TAX                        ","PRT","PRT","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","4","4",""
"0","Tire","-331","Medium Truck","-560","Premium Drive","RoadX","RT787","225/70R19.5~ROADX~RT787~Prem Reg Drive G/14 TL-3PMS","930299","22570195ROA930299","0","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","2","412.88","JALE5W165G7303109"
"0","Tire","-331","Medium Truck","-560","Premium Drive","RoadX","RT787","225/70R19.5~ROADX~RT787~Prem Reg Drive G/14 TL-3PMS","930299","22570195ROA930299","0","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","2","412.88","JALE5W165G7303109"
"5","Wheel","-236","Truck","-343","Wheel","Rims & Wheels","Wheel","8.25X22.5 10H UNIMOUNT ACCURID WHTE","50308PW","W22550308PW","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","1","96",""
"-7","Discounts","-112","Retread","-145","Default","Promotion","Default","PROMOTION                          ","STAR","STAR","0","0","15","Troy 15","655 Olympic Dr.","Troy","OH","45373","11-30-2019","-12","-162",""
"0","Tire","60","Medium Truck","264","All Position","Michelin","XZA","365/70R22.5 MICH 20P XZA 162M","52215","36570225MIC52215","0","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","1","798.08",""
"4","Retread","416","Medium Truck - Cap Only","1306","Trailer","MRT","XTY-SA","11R24.5~MRT~XTY-SA","11016","11245MRT11016","11R24.5","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","4","742.68",""
"-2","Local Labor","-105","Passenger Service","-196","Passenger Service","wheel balance","Passenger Service","SPIN BALANCE PASSENGER KENTUCKY","SBPK","SBPK","","0","21","Ziegler/Morgan Tire 21","960 Nandino Blvd","Lexington","KY","40511","11-30-2019","2","17","1FDSX35Y88ED99335"
"-9","Tire Service","-290","PA/LT Service","-444","PA/LT Service ","Service","PA/LT Service ","PATCH ALL PLUG REPAIRS","TR","TR","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","21.5",""
"-9","Tire Service","-290","PA/LT Service","-444","PA/LT Service ","Service","PA/LT Service ","TIRE PATCH - PLUG REPAIR","TR","TR","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","15","1HA3GTCG1HN004426"
